,Movie Name,Movie Released Year,Movie overview,Movie Cast
30,Air,2023,"Follows the history of sports marketing executive Sonny Vaccaro, and how he led Nike in its pursuit of the greatest athlete in the history of basketball, Michael Jordan.","['Matt Damon', 'Jason Bateman', 'Ben Affleck', 'Chris Messina', 'Viola Davis', 'Julius Tennon', 'Damian Delano Young', 'Chris Tucker', 'Matthew Maher', 'Gustaf Skarsgård', 'Barbara Sukowa', 'Jay Mohr', 'Joel Gretsch', ""Michael O'Neill"", 'Marlon Wayans', 'Asanté Deshon', 'Billy Smith', 'Al Madrigal']"
31,Nefarious,2023,"On the day of his scheduled execution, a convicted serial killer gets a psychiatric evaluation during which he claims he is a demon, and further claims that before their time is over, the psychiatrist will commit three murders of his own.","['Sean Patrick Flanery', 'Jordan Belfi', 'Tom Ohmer', 'Stelio Savante', 'Glenn Beck', 'James Healy Jr.', 'Robert Peters', 'Eric Hanson', 'Jarret LeMaster', 'Cameron Arnett', 'Maura Corsini', 'Katy Hayes', 'Tina Toner', 'John Cann', 'Sarah Hernandez', 'Mark De Alessandro', 'Daniel Martin Berkey', 'Grifon Aldren']"
32,Kandahar,2023,A CIA operative and his translator flee from special forces in Afghanistan after exposing a covert mission.,"['Tom Rhys Harries', 'Farhad Bagheri', 'Gerard Butler', 'Mitchell LaFortune', 'Mark Arnold', 'Nina Toussaint-White', 'Bahador Foladi', 'Rebecca Calder', 'Olivia-Mai Barrett', 'Navid Negahban', ""Akbar 'Akki' Mollen"", 'Alex Baynes', 'Travis Fimmel', 'Vassilis Koukalani', 'Hakeem Jomah', 'Ali Fazal', 'Fouad Hakeem', 'Ravi Aujla']"
33,Sisu,2023,"When an ex-soldier who discovers gold in the Lapland wilderness tries to take the loot into the city, Nazi soldiers led by a brutal SS officer battle him.","['Jorma Tommila', 'Aksel Hennie', 'Jack Doolan', 'Mimosa Willamo', 'Onni Tommila', 'Tatu Sinisalo', 'Wilhelm Enckell', 'Vincent Willestrand', 'Arttu Kapulainen', 'Elina Saarela', 'Ilkka Koivula', 'Max Ovaska', 'Joel Hirvonen', 'Pekka Huotari', 'Severi Saarinen', 'Aamu Milonoff', 'Joonas Brilli', 'Nicholas Francett']"
34,Ant-Man and the Wasp: Quantumania,2023,"Scott Lang and Hope Van Dyne are dragged into the Quantum Realm, along with Hope's parents and Scott's daughter Cassie. Together they must find a way to escape, but what secrets is Hope's mother hiding? And who is the mysterious Kang?","['Paul Rudd', 'Evangeline Lilly', 'Michael Douglas', 'Michelle Pfeiffer', 'Jonathan Majors', 'Kathryn Newton', 'Corey Stoll', 'Bill Murray', ""Katy M. O'Brian"", 'William Jackson Harper', 'Jamie Andrew Cutler', 'David Dastmalchian', 'Randall Park', 'Mark Weinman', 'Ross Mullan', 'Tom Clark', 'Leon Cooke', 'Nathan Blees']"
35,Avatar,2023,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,"['Sam Worthington', 'Zoe Saldana', 'Sigourney Weaver', 'Michelle Rodriguez', 'Stephen Lang', 'Giovanni Ribisi', 'Joel David Moore', 'CCH Pounder', 'Wes Studi', 'Laz Alonso', 'Dileep Rao', 'Matt Gerald', 'Sean Anthony Moran', 'Jason Whyte', 'Scott Lawrence', 'Kelly Kilgour', 'James Patrick Pitt', 'Sean Patrick Murphy']"
36,Bloody Daddy,2023,"A messed up, tenacious man faces off against cops and crime lords to save the one relationship that matters to him.","['Amy Aela', 'Shahid Kapoor', 'Diana Penty', 'Suparna Moitra', 'Ankur Bhatia', 'Ronit Roy', 'Rajeev Khandelwal', 'Vivan Bhatena', 'Sanjay Kapoor', 'Zeishan Quadri', 'Sarah Anjuli', 'Vikram Mehra', 'Mukesh S. Bhatt', 'Sartaaj Kakkar', 'Mario Silva', 'Badshah', 'Nakul Nirmal Pandey', 'Alex Rajan']"
37,BlackBerry,2023,The story of the meteoric rise and catastrophic demise of the world's first smartphone.,"['Jay Baruchel', 'Glenn Howerton', 'Matt Johnson', 'Kelly Van der Burg', 'Gregory Ambrose Calderone', 'Laura Cilevitz', 'Martin Donovan', 'James Elliot Miniou', 'Fuad Musayev', 'Ethan Eng', 'Michael Scott', 'Steve Hamelin', 'Pranay Noel', 'Ben Petrie', 'Jinny Wong', 'Lauren Howe', 'Saul Rubinek', 'Stephanie Moran']"
38,A Man Called Otto,2023,"Otto is a grump who's given up on life following the loss of his wife and wants to end it all. When a young family moves in nearby, he meets his match in quick-witted Marisol, leading to a friendship that will turn his world around.","['Tom Hanks', 'Mariana Treviño', 'Rachel Keller', 'John Higgins', 'Tony Bingham', 'Lily Kozub', 'Mack Bayda', 'Cameron Britton', 'Juanita Jennings', 'Peter Lawson Jones', 'Max Pavel', 'Kailey Hyman', 'Peter Sipla', 'Patrick Stanny', 'Allyson R. Hood', 'Carl Clemons', 'Connor McCanlus', 'Kristy Nolen']"
39,X,2023,"In 1979, a group of young filmmakers set out to make an adult film in rural Texas, but when their reclusive, elderly hosts catch them in the act, the cast find themselves fighting for their lives.","['Mia Goth', 'Jenna Ortega', 'Brittany Snow', 'Kid Cudi', 'Martin Henderson', 'Owen Campbell', 'Stephen Ure', 'James Gaylyn', 'Simon Prast', 'Geoff Dolan', 'Matthew J. Saville', 'Bryony Skillington']"
40,Shazam! Fury of the Gods,2023,"The film continues the story of teenage Billy Batson who, upon reciting the magic word ""SHAZAM!"" is transformed into his adult Super Hero alter ego, Shazam.","['Zachary Levi', 'Asher Angel', 'Jack Dylan Grazer', 'Rachel Zegler', 'Adam Brody', 'Ross Butler', 'D.J. Cotrona', 'Grace Caroline Currey', 'Meagan Good', 'Lucy Liu', 'Djimon Hounsou', 'Helen Mirren', 'Faithe Herman', 'Ian Chen', 'Jovan Armand', 'Marta Milans', 'Cooper Andrews', 'Rizwan Manji']"
41,Evil Dead Rise,2023,"A twisted tale of two estranged sisters whose reunion is cut short by the rise of flesh-possessing demons, thrusting them into a primal battle for survival as they face the most nightmarish version of family imaginable.","['Mirabai Pease', 'Richard Crouchley', 'Anna-Maree Thomas', 'Lily Sullivan', 'Noah Paul', 'Alyssa Sutherland', 'Gabrielle Echols', 'Morgan Davies', 'Nell Fisher', 'Billy Reynolds-McCarthy', 'Tai Wano', 'Jayden Daniels', 'Mark Mitchinson', 'Melissa Xiao', 'Bruce Campbell']"
42,Reality,2023,A former American intelligence specialist was given the longest sentence for the unauthorized release of government information to the media about Russian interference in the 2016 United States elections via an email operation.,"['Sydney Sweeney', 'Josh Hamilton', 'Marchánt Davis', 'Benny Elledge', 'John Way', 'Darby', 'Arlo', 'Allan Anthony Smith']"
43,Mission: Impossible - Dead Reckoning Part One,2023,Ethan Hunt and his IMF team must track down a dangerous weapon before it falls into the wrong hands.,"['Rebecca Ferguson', 'Tom Cruise', 'Pom Klementieff', 'Vanessa Kirby', 'Hayley Atwell', 'Rob Delaney', 'Cary Elwes', 'Simon Pegg', 'Shea Whigham', 'Indira Varma', 'Ving Rhames', 'Esai Morales', 'Henry Czerny', 'Charles Parnell', 'Mark Gatiss', 'Mariela Garriga', 'Ioachim Ciobanu', 'Yennis Cheung']"
44,Raiders of the Lost Ark,2023,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers.","['Harrison Ford', 'Karen Allen', 'Paul Freeman', 'John Rhys-Davies', 'Ronald Lacey', 'Denholm Elliott', 'Alfred Molina', 'Wolf Kahler', 'Anthony Higgins', 'Vic Tablian', 'Don Fellows', 'William Hootkins', 'Bill Reimbold', 'Fred Sorenson', 'Patrick Durkin', 'Matthew Scurfield', 'Malcolm Weaver', 'Sonny Caldinez']"
45,Hypnotic,2023,A detective investigates a mystery involving his missing daughter and a secret government program.,"['Ben Affleck', 'Alice Braga', 'JD Pardo', 'Dayo Okeniyi', 'Jeff Fahey', 'Jackie Earle Haley', 'William Fichtner', 'Zane Holtz', 'Ruben Javier Caballero', 'Kelly Frye', 'Sandy Avila', 'Ryan Ryusaki', 'Hala Finley', 'Ionie Olivia Nieves', 'Corina Calderon', 'Nikki Dixon', 'Bonnie Discepolo', 'Kelly Phelan']"
46,The Blackening,2023,Seven Black friends go away for the weekend and end up trapped in a cabin with a killer who has a vendetta. Will their street smarts and knowledge of horror movies help them stay alive? Probably not.,"['Antoinette Robertson', 'Dewayne Perkins', 'Sinqua Walls', 'Grace Byers', 'X Mayo', 'Melvin Gregg', 'Jermaine Fowler', 'Yvonne Orji', 'Jay Pharoah', 'James Preston Rogers']"
47,Dune,2023,A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.,"['Timothée Chalamet', 'Rebecca Ferguson', 'Zendaya', 'Oscar Isaac', 'Jason Momoa', 'Stellan Skarsgård', 'Stephen McKinley Henderson', 'Josh Brolin', 'Javier Bardem', 'Sharon Duncan-Brewster', 'Chang Chen', 'Dave Bautista', 'David Dastmalchian', 'Charlotte Rampling', 'Babs Olusanmokun', 'Benjamin Clémentine', 'Souad Faress', 'Golda Rosheuvel']"
48,Interstellar,2023,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.","['Matthew McConaughey', 'Anne Hathaway', 'Jessica Chastain', 'Mackenzie Foy', 'Ellen Burstyn', 'John Lithgow', 'Timothée Chalamet', 'David Oyelowo', 'Collette Wolfe', 'Francis X. McCarthy', 'Bill Irwin', 'Andrew Borba', 'Wes Bentley', 'William Devane', 'Michael Caine', 'David Gyasi', 'Josh Stewart', 'Casey Affleck']"
49,A Beautiful Life,2023,"Elliott, a young fisherman with an extraordinary voice, gets the chance of a lifetime when high-profile music manager Suzanne discovers him at a party.","['Christopher', 'Inga Ibsdotter Lilleaas', 'Christine Albeck Børge', 'Ardalan Esmaili', 'Sebastian Jessen', 'Paw Henriksen', 'Jonathan Harboe', 'Marie Askehave', 'Jefferson Bond', 'Ian Burns', 'Jonas Gülstorff', 'Aksel True Klüver', 'Tobias Stelzner', 'Søren Duong']"
50,Spider-Man: Beyond the Spider-Verse,2023,"After leaving off from Spider-Man: Across the Spider-Verse, the story continues.","['Shameik Moore', 'Hailee Steinfeld', 'Jason Schwartzman', 'Luna Lauren Velez', 'Oscar Isaac', 'Brian Tyree Henry', 'Daniel Kaluuya', 'Jake Johnson', 'Karan Soni', 'Amandla Stenberg', 'Mahershala Ali', 'Jharrel Jerome', 'Kimiko Glenn', 'John Mulaney', 'Issa Rae']"
51,Transformers,2023,"An ancient struggle between two Cybertronian races, the heroic Autobots and the evil Decepticons, comes to Earth, with a clue to the ultimate power held by a teenager.","['Shia LaBeouf', 'Megan Fox', 'Josh Duhamel', 'Tyrese Gibson', 'Rachael Taylor', 'Anthony Anderson', 'Jon Voight', 'John Turturro', ""Michael O'Neill"", 'Kevin Dunn', 'Julie White', 'Amaury Nolasco', 'Zack Ward', 'Luis Echagarruga', 'Patrick Mulderrig', 'Brian Shehan', 'Michael Trisler', 'Ashkan Kashanchi']"
52,The Godfather,2023,"Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","['Marlon Brando', 'Al Pacino', 'James Caan', 'Diane Keaton', 'Richard S. Castellano', 'Robert Duvall', 'Sterling Hayden', 'John Marley', 'Richard Conte', 'Al Lettieri', 'Abe Vigoda', 'Talia Shire', 'Gianni Russo', 'John Cazale', 'Rudy Bond', 'Al Martino', 'Morgana King', 'Lenny Montana']"
53,Gladiator 2,2023,"Follows Lucius the son of Maximus' love Lucilla, after Maximus death.","['Pedro Pascal', 'Connie Nielsen', 'Denzel Washington', 'Paul Mescal', 'Joseph Quinn', 'Djimon Hounsou', 'Lior Raz', 'Derek Jacobi', 'May Calamawy', 'Peter Mensah', 'Fred Hechinger', 'Matt Lucas', 'Alex Gasperetti', 'Ross Donnelly', 'Jean Carbonaro']"
54,Jurassic Park,2023,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,"['Sam Neill', 'Laura Dern', 'Jeff Goldblum', 'Richard Attenborough', 'Bob Peck', 'Martin Ferrero', 'BD Wong', 'Joseph Mazzello', 'Ariana Richards', 'Samuel L. Jackson', 'Wayne Knight', 'Gerald R. Molen', 'Miguel Sandoval', 'Cameron Thor', 'Christopher John Fields', 'Whit Hertford', 'Dean Cundey', 'Jophery C. Brown']"
55,Top Gun: Maverick,2023,"After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it.","['Tom Cruise', 'Jennifer Connelly', 'Miles Teller', 'Val Kilmer', 'Bashir Salahuddin', 'Jon Hamm', 'Charles Parnell', 'Monica Barbaro', 'Lewis Pullman', 'Jay Ellis', 'Danny Ramirez', 'Glen Powell', 'Jack Schumacher', 'Manny Jacinto', 'Kara Wang', 'Greg Tarzan Davis', 'Jake Picking', 'Raymond Lee']"
56,The Shawshank Redemption,2023,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","['Tim Robbins', 'Morgan Freeman', 'Bob Gunton', 'William Sadler', 'Clancy Brown', 'Gil Bellows', 'Mark Rolston', 'James Whitmore', 'Jeffrey DeMunn', 'Larry Brandenburg', 'Neil Giuntoli', 'Brian Libby', 'David Proval', 'Joseph Ragno', 'Jude Ciccolella', 'Paul McCrane', 'Renee Blaine', 'Scott Mann']"
57,Nimona,2023,"When a knight in a futuristic medieval world is framed for a crime he didn't commit, the only one who can help him prove his innocence is Nimona -- a mischievous teen who happens to be a shapeshifting creature he's sworn to destroy.","['Riz Ahmed', 'Chloë Grace Moretz', 'Eugene Lee Yang', 'Frances Conroy', 'Lorraine Toussaint', 'Beck Bennett', 'RuPaul', 'Indya Moore', 'Julio Torres', 'Sarah Sherman', 'Nate Stevenson', 'Mia Collins', 'Zayaan Kunawar', 'Charlotte Aldrich', 'Karen Ryan', 'Nick Bruno', 'Troy Quane', 'Julie Zackary']"
58,Machine,2023,Bert's drunken past catches up with him 20 years down the road when he and his father are kidnapped by those Bert wronged 20 years ago while drunk on a college semester abroad in Russia.,"['Bert Kreischer', 'Mark Hamill', 'Jimmy Tatro', 'Iva Babic', 'Robert Maaser', 'Stephanie Kurtzuba', 'Martyn Ford', 'Jess Gabor', 'Rita Bernard-Shaw', 'Nikola Djuricko', 'Oleg Taktarov', 'Amelie Child Villiers', 'Aleksandar Sreckovic', 'Jovan Savic', 'Marko Nedeljkovic', 'Set Sjöstrand', 'Mercedes De La Cruz', 'Vladimir Gvojic']"
59,About My Father,2023,"When Sebastian tells his old-school Italian immigrant father Salvo that he is going to propose to his all-American girlfriend, Salvo insists on crashing a weekend with her tony parents.","['Robert De Niro', 'Sebastian Maniscalco', 'Leslie Bibb', 'Kim Cattrall', 'David Rasche', 'Anders Holm', 'Brett Dier', 'Adan James Carrillo', 'Navv Greene', 'Henry Pao', 'Laura Ault', 'Colby Shinn', 'Jessie Camacho', 'Andrea Garnett', 'Ana Navarro', 'Chris Hayes', 'Carla Christina Contreras', 'Michael Stuart']"
60,Hair,2023,"Claude Bukowski leaves the family ranch in Oklahoma for New York where he is rapidly embraced into the hippie group of youngsters led by Berger, yet he's already been drafted. He soon falls in love with Sheila Franklin, a rich girl but still a rebel inside.","['John Savage', 'Treat Williams', ""Beverly D'Angelo"", 'Annie Golden', 'Dorsey Wright', 'Don Dacus', 'Cheryl Barnes', 'Richard Bright', 'Nicholas Ray', 'Charlotte Rae', 'Miles Chapin', 'Fern Tailer', 'Charles Denny', 'Herman Meckler', 'Agness Breen', 'Antonia Rey', 'George J. Manos', 'Linda Surh']"
61,The Pope's Exorcist,2023,"Follow Gabriele Amorth, the Vatican's leading exorcist, as he investigates the possession of a child and uncovers a conspiracy the Vatican has tried to keep secret.","['Russell Crowe', 'Daniel Zovatto', 'Alex Essoe', 'Franco Nero', 'Peter DeSouza-Feighoney', 'Laurel Marsden', 'Cornell John', ""Ryan O'Grady"", 'Bianca Bardoe', 'Santi Bayón', 'Paloma Bloyd', 'Alessandro Gruttadauria', 'River Hawkins', 'Jordi Collet', 'Carrie Munro', 'Marc Velasco', 'Edward Harper-Jones', 'Matthew Sim']"
62,"Are You There God? It's Me, Margaret.",2023,"When her family moves from the city to the suburbs, 11-year-old Margaret navigates new friends, feelings, and the beginning of adolescence.","['Abby Ryder Fortson', 'Rachel McAdams', 'Kathy Bates', 'Benny Safdie', 'Elle Graham', 'Amari Alexis Price', 'Katherine Mallen Kupferer', 'Kate MacCluggage', 'Aidan Wojtak-Hissong', 'Landon S. Baxter', 'Mackenzie Joy Potter', 'Olivia Williams', 'Mike Platarote Jr.', 'Echo Kellum', 'Simms May', 'Zack Brooks', 'Jecobi Swain', 'Isol Young']"
63,Spider-Man: No Way Home,2023,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.","['Tom Holland', 'Zendaya', 'Benedict Cumberbatch', 'Jacob Batalon', 'Jon Favreau', 'Jamie Foxx', 'Willem Dafoe', 'Alfred Molina', 'Benedict Wong', 'Tony Revolori', 'Marisa Tomei', 'Andrew Garfield', 'Tobey Maguire', 'Angourie Rice', 'Arian Moayed', 'Paula Newsome', 'Hannibal Buress', 'Martin Starr']"
64,The Whale,2023,"A reclusive, morbidly obese English teacher attempts to reconnect with his estranged teenage daughter.","['Brendan Fraser', 'Sadie Sink', 'Ty Simpkins', 'Hong Chau', 'Samantha Morton', 'Sathya Sridharan', 'Jacey Sink', 'Wilhelm Schalaudek']"
65,Everything Everywhere All at Once,2023,A middle-aged Chinese immigrant is swept up into an insane adventure in which she alone can save existence by exploring other universes and connecting with the lives she could have led.,"['Michelle Yeoh', 'Stephanie Hsu', 'Jamie Lee Curtis', 'Ke Huy Quan', 'James Hong', 'Tallie Medel', 'Jenny Slate', 'Harry Shum Jr.', 'Biff Wiff', 'Sunita Mani', 'Aaron Lazar', 'Brian Le', 'Andy Le', 'Narayana Cabral', 'Chelsey Goldsmith', 'Craig Henningsen', 'Anthony Molinari', 'Dan Brown']"
66,Cobweb,2023,Horror strikes when an eight-year-old boy named Peter tries to investigate the mysterious knocking noises that are coming from inside the walls of his house and a dark secret that his sinister parents kept hidden from him.,"['Lizzy Caplan', 'Antony Starr', 'Cleopatra Coleman', 'Ellen Dubin', 'Woody Norman', 'Luke Busey', 'Debora Zhecheva', 'Steffanie Sampson', 'Jay Rincon', 'Anton Kottas', 'Jesse Vilinsky', 'Aleksandra Dragova', 'Aleksander Asparuhov', 'Jivko Mihaylov', 'James Robinson']"
67,Titanic,2023,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.","['Leonardo DiCaprio', 'Kate Winslet', 'Billy Zane', 'Kathy Bates', 'Frances Fisher', 'Gloria Stuart', 'Bill Paxton', 'Bernard Hill', 'David Warner', 'Victor Garber', 'Jonathan Hyde', 'Suzy Amis', 'Lewis Abernathy', 'Nicholas Cascone', 'Anatoly M. Sagalevitch', 'Danny Nucci', 'Jason Barry', 'Ewan Stewart']"
68,Scream!!,2023,"In the next installment, the survivors of the Ghostface killings leave Woodsboro behind and start a fresh chapter in New York City.","['Courteney Cox', 'Melissa Barrera', 'Jenna Ortega', 'Jasmin Savoy Brown', 'Mason Gooding', 'Skeet Ulrich', 'Roger Jackson', 'Dermot Mulroney', 'Jack Champion', 'Josh Segarra', 'Liana Liberato', 'Devyn Nekoda', 'Hayden Panettiere', 'Tony Revolori', 'Samara Weaving', 'Matthew Giuffrida', 'Andre Anthony', 'Henry Czerny']"
69,65,2023,An astronaut crash lands on a mysterious planet only to discover he's not alone.,"['Adam Driver', 'Ariana Greenblatt', 'Chloe Coleman', 'Nika King', 'Brian Dare']"
70,Inception,2023,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.","['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Elliot Page', 'Ken Watanabe', 'Tom Hardy', 'Dileep Rao', 'Cillian Murphy', 'Tom Berenger', 'Marion Cotillard', 'Pete Postlethwaite', 'Michael Caine', 'Lukas Haas', 'Tai-Li Lee', 'Claire Geare', 'Magnus Nolan', 'Taylor Geare', 'Johnathan Geare', 'Tohoru Masamune']"
71,The Menu,2023,"A young couple travels to a remote island to eat at an exclusive restaurant where the chef has prepared a lavish menu, with some shocking surprises.","['Ralph Fiennes', 'Anya Taylor-Joy', 'Nicholas Hoult', 'Hong Chau', 'Janet McTeer', 'Paul Adelstein', 'John Leguizamo', 'Aimee Carrero', 'Reed Birney', 'Judith Light', 'Rebecca Koon', 'Rob Yang', 'Arturo Castro', 'Mark St. Cyr', 'Peter Grosz', 'Christina Brucato', 'Adam Aalderks', 'Jon Paul Allyn']"
72,Babylon,2023,"A tale of outsized ambition and outrageous excess, it traces the rise and fall of multiple characters during an era of unbridled decadence and depravity in early Hollywood.","['Brad Pitt', 'Margot Robbie', 'Jean Smart', 'Olivia Wilde', 'J.C. Currais', 'Diego Calva', 'Jimmy Ortega', 'Marcos A. Ferraez', 'Shane Powers', 'Phoebe Tonkin', 'Troy Metcalf', 'Jovan Adepo', 'Hansford Prince', 'Telvin Griffin', 'Cutty Cuthbert', 'Albert Hammond Jr.', 'Flea', 'Bregje Heinen']"
73,Past Lives,2023,"Nora and Hae Sung, two deeply connected childhood friends, are wrest apart after Nora's family emigrates from South Korea. 20 years later, they are reunited for one fateful week as they confront notions of love and destiny.","['Greta Lee', 'Teo Yoo', 'John Magaro', 'Moon Seung-ah', 'Leem Seung-min', 'Ji Hye Yoon', 'Won Young Choi', 'Ahn Min-Young', 'Seo Yeon-Woo', 'Kiha Chang', 'Shin Hee-Chul', 'Jun Hyuk Park', 'Jack Alberts', 'Jane Kim', 'Noo Ri Song', 'Si Ah Jin', 'Yoon Seo Choi', 'Seung Un Hwang']"
74,97 Minutes,2023,"A ticking clock scenario unfolds as a hijacked 767 airplane faces imminent disaster when its fuel supply dwindles, with just 97 minutes remaining.","['Jonathan Rhys Meyers', 'Alec Baldwin', 'MyAnna Buring', 'Jo Martin', 'Michael Sirow', 'Pavan Grover', 'Anjul Nigam', 'Davor Tomic', 'Slavko Sobin', 'Peter Brooke', 'Austin Parsons', 'Kasia Koleczek', 'Danny Bohnen', 'Joe Corrigall', 'Jodie Mcmullen', 'Tatiana Bondar', 'Kelly Burke', 'Valery Danko']"
75,The Batman,2023,"When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement.","['Robert Pattinson', 'Zoë Kravitz', 'Jeffrey Wright', 'Colin Farrell', 'Paul Dano', 'John Turturro', 'Andy Serkis', 'Peter Sarsgaard', 'Barry Keoghan', 'Jayme Lawson', 'Gil Perez-Abraham', 'Peter McDonald', ""Con O'Neill"", 'Alex Ferns', 'Rupert Penry-Jones', 'Kosha Engler', 'Archie Barnes', 'Janine Harouni']"
76,The Full Monty,2023,"Six unemployed steel workers form a male striptease act. The women cheer them on to go for ""the full monty"" - total nudity.","['Robert Carlyle', 'Tom Wilkinson', 'Mark Addy', 'Wim Snape', 'Steve Huison', 'Paul Barber', 'Hugo Speer', 'Lesley Sharp', 'Emily Woof', 'Deirdre Costello', 'Paul Butterworth', 'Dave Hill', 'Bruce Jones', 'Andrew Livingston', 'Vinny Dhillon', 'Kate Layden', 'Joanna Swain', 'Diane Lane']"
77,Dune: Part Two,2023,"A boy becomes the Messiah of nomads on a desert planet that has giant worms that protect a commodity called Spice. Spice changes people into travelers, mystics and madmen. What price will he pay to become the new ruler of their universe?","['Timothée Chalamet', 'Zendaya', 'Rebecca Ferguson', 'Josh Brolin', 'Austin Butler', 'Florence Pugh', 'Dave Bautista', 'Christopher Walken', 'Stephen McKinley Henderson', 'Léa Seydoux', 'Stellan Skarsgård', 'Charlotte Rampling', 'Javier Bardem', 'Tim Blake Nelson', 'Molly Mcowan', 'Laura Mizere', 'Rex Adams', 'Anton Valensi']"
78,Five Nights at Freddy's,2023,"A troubled security guard begins working at Freddy Fazbear's Pizza. During his first night on the job, he realizes that the night shift at Freddy's won't be so easy to get through.","['Josh Hutcherson', 'Matthew Lillard', 'Elizabeth Lail', 'Mary Stuart Masterson', 'Kevin Foster', 'Kat Conner Sterling', 'Piper Rubio', 'Jessica Blackmore', 'Jess Weiss', 'Jophielle Love', 'Christian Stokes', 'Lucas Grant', 'Joseph Poliquin', 'Wyatt Parker', 'Jade Kindar-Martin', 'Bailey Winston', 'Ryan Reinike', 'Theodus Crane']"
79,We're the Millers,2023,A veteran pot dealer creates a fake family as part of his plan to move a huge shipment of weed into the U.S. from Mexico.,"['Jason Sudeikis', 'Jennifer Aniston', 'Emma Roberts', 'Ed Helms', 'Will Poulter', 'Nick Offerman', 'Kathryn Hahn', 'Molly C. Quinn', 'Tomer Sisley', 'Matthew Willig', 'Luis Guzmán', 'Thomas Lennon', 'Mark L. Young', 'Ken Marino', 'Laura-Leigh', 'Crystal Nichol', 'Dickson Obahor', 'Brett Gentile']"
80,Living,2023,"In 1950s London, a humorless bureaucrat decides to take time off work to experience life after receiving a grim diagnosis.","['Bill Nighy', 'Aimee Lou Wood', 'Alex Sharp', 'Adrian Rawlins', 'Hubert Burton', 'Oliver Chris', 'Michael Cochrane', 'Anant Varman', 'Zoe Boyle', 'Lia Williams', 'Jessica Flood', 'Jamie Wilkes', 'Richard Cunningham', 'John Mackay', 'Ffion Jolly', 'Celeste Dodwell', 'Jonathan Keeble', 'Patsy Ferran']"
81,The Dark Knight,2023,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.","['Christian Bale', 'Heath Ledger', 'Aaron Eckhart', 'Michael Caine', 'Maggie Gyllenhaal', 'Gary Oldman', 'Morgan Freeman', 'Monique Gabriela Curnen', 'Ron Dean', 'Cillian Murphy', 'Chin Han', 'Nestor Carbonell', 'Eric Roberts', 'Ritchie Coster', 'Anthony Michael Hall', 'Keith Szarabajka', 'Colin McFarlane', 'Joshua Harto']"
82,The Mother,2023,"While fleeing from dangerous assailants, an assassin comes out of hiding to protect the daughter she left earlier in life.","['Jennifer Lopez', 'Lucy Paez', 'Omari Hardwick', 'Joseph Fiennes', 'Gael García Bernal', 'Paul Raci', 'Jesse Garcia', 'Yvonne Senat Jones', 'Edie Falco', 'Michael Karl Richards', 'Link Baker', 'Mayumi Yoshida', 'Ryan Cowie', 'Todd Matthews', 'Yadier Fernández', 'Olivia Lucas', 'Mehdi Regragui', 'Jay Cardinal Villeneuve']"
83,The Breakfast Club,2023,Five high school students meet in Saturday detention and discover how they have a great deal more in common than they thought.,"['Emilio Estevez', 'Judd Nelson', 'Molly Ringwald', 'Ally Sheedy', 'Paul Gleason', 'Anthony Michael Hall', 'John Kapelos', 'Perry Crawford', 'Mary Christian', 'Ron Dean', 'Tim Gamble', 'Fran Gargano', 'Mercedes Hall', 'Mike Burnham', 'John Hughes']"
84,Transformers: The Last Knight,2023,"A deadly threat from Earth's history reappears and a hunt for a lost artifact takes place between Autobots and Decepticons, while Optimus Prime encounters his creator in space.","['Mark Wahlberg', 'Anthony Hopkins', 'Josh Duhamel', 'Laura Haddock', 'Santiago Cabrera', 'Isabela Merced', 'Jerrod Carmichael', 'Stanley Tucci', 'Liam Garrigan', 'Martin McCreadie', 'Rob Witcomb', 'Marcus Fraser', 'John Hollingworth', 'Daniel Adegboyega', 'Trent Seven', 'Glenn Morshower', 'Gemma Chan', 'John Turturro']"
